CERT,NAME,CITY,STALP,ASSET
628,"JPMorgan Chase Bank, National Association",Columbus,OH,4016571000
3510,"Bank of America, National Association",Charlotte,NC,2672192000
7213,"Citibank, National Association",Sioux Falls,SD,1933622000
3511,"Wells Fargo Bank, National Association",Sioux Falls,SD,1852239000
33124,Goldman Sachs Bank USA,New York,NY,751776000
6548,U.S. Bank National Association,Cincinnati,OH,683379960
4297,"Capital One, National Association",Mclean,VA,672010000
6384,"PNC Bank, National Association",Wilmington,DE,567948516
9846,Truist Bank,Charlotte,NC,541180000
639,The Bank of New York Mellon,New York,NY,467349000
32992,"Morgan Stanley Bank, National Association",Salt Lake City,UT,391305000
14,State Street Bank and Trust Company,Boston,MA,386546000
18409,"TD Bank, National Association",Wilmington,DE,345610767
6672,"Fifth Third Bank, National Association",Cincinnati,OH,296118000
6560,The Huntington National Bank,Columbus,OH,284135374
16571,BMO Bank National Association,Chicago,IL,251964731
57450,"Charles Schwab Bank, SSB",Westlake,TX,242914000
34221,"Morgan Stanley Private Bank, National Association",Purchase,NY,241388000
11063,First-Citizens Bank & Trust Company,Raleigh,NC,235521000
57957,"Citizens Bank, National Association",Providence,RI,227134099
27471,American Express National  Bank,Sandy,UT,217568586
588,Manufacturers and Traders Trust Company,Buffalo,NY,214201000
17534,KeyBank National Association,Cleveland,OH,185983433
57803,Ally Bank,Sandy,UT,185664000
913,The Northern Trust Company,Chicago,IL,173842608
57890,"HSBC Bank USA, National Association",Tysons,VA,167705510
12368,Regions Bank,Birmingham,AL,159430000
35583,Pinnacle Bank,Nashville,TN,122628191
57565,"UBS Bank USA, National Association",Salt Lake City,UT,122261832
27314,Synchrony Bank,Draper,UT,114855000
32188,USAA Federal Savings Bank,Phoenix,AZ,109670000
29950,"Santander Bank, N.A.",Wilmington,DE,106094600
17281,City National Bank,Los Angeles,CA,99947369
57512,Western Alliance Bank,Phoenix,AZ,98766387
2270,"Zions Bancorporation, N.A.",Salt Lake City,UT,87956932
32541,"Flagstar Bank, National Association",Hicksville,NY,87128815
18221,"Webster Bank, National Association",Stamford,CT,85527350
4977,First Horizon Bank,Memphis,TN,83823830
31628,East West Bank,Pasadena,CA,82474471
3832,Old National Bank,Evansville,IN,72614322
8273,"UMB Bank, National Association",Kansas City,MO,72349509
33555,"SouthState Bank, National Association",Winter Haven,FL,67870584
17266,Columbia Bank,Roseburg,OR,66011146
33306,CIBC Bank USA,Chicago,IL,65130106
9396,Valley National Bank,Passaic,NJ,64388074
34968,Banco Popular de Puerto Rico,San Juan,PR,60625000
4214,"BOKF, National Association",Tulsa,OK,53492601
5510,Frost  Bank,San Antonio,TX,52769892
7888,First National Bank of Pennsylvania,Greenville,PA,50421258
26881,"SoFi Bank, National Association",Cottonwood Heights,UT,49667835
34775,"EverBank, National Association",Jacksonville,FL,47232699
57203,Barclays Bank Delaware,Wilmington,DE,46648000
33893,Raymond James Bank,Saint Petersburg,FL,45736982
5296,"Associated Bank, National Association",Green Bay,WI,45537550
33653,Bank of China,New York,NY,44448266
16835,Prosperity Bank,El Campo,TX,43608962
4063,MidFirst Bank,Oklahoma City,OK,42109827
110,Bank OZK,Little Rock,AR,41663976
623,Deutsche Bank Trust Company Americas,New York,NY,39745000
34589,Atlantic Union Bank,Richmond City,VA,37228893
24998,Commerce Bank,Kansas City,MO,35540239
12441,Hancock Whitney Bank,Gulfport,MS,35533297
58979,"BankUnited, National Association",Miami Lakes,FL,35341660
5452,First National Bank of Omaha,Omaha,NE,34725218
24045,Banc of California,Los Angeles,CA,34642892
22858,United Bank,Fairfax,VA,33609082
34383,Texas Capital Bank,Dallas,TX,33205747
33947,"TD Bank USA, National Association",Wilmington,DE,32718396
7551,"Fulton Bank, National Association",Lancaster,PA,32107617
30788,Glacier Bank,Kalispell,MT,31717351
7946,"BNY Mellon, National Association",Pittsburgh,PA,30917000
32773,Eastern Bank,Boston,MA,30620358
58177,Sallie Mae Bank,Salt Lake City,UT,29457314
18714,FirstBank,Lakewood,CO,29362572
20234,City National Bank of Florida,Miami,FL,28626294
35546,Axos Bank,San Diego,CA,28237712
16889,United Community Bank,Greenville,SC,28114413
8728,Arvest Bank,Fayetteville,AR,28023532
20504,Ameris Bank,Atlanta,GA,28021961
28088,WaFd Bank,Seattle,WA,27552061
33497,"Charles Schwab Premier Bank, SSB",Westlake,TX,27441000
803,"WesBanco Bank, Inc.",Wheeling,WV,27420438
12437,Renasant Bank,Tupelo,MS,27090994
1105,First Interstate Bank,Billings,MT,26361352
34444,Customers Bank,Malvern,PA,25862378
58303,"Ameriprise Bank, FSB",Minneapolis,MN,25514060
12010,Provident Bank,Jersey City,NJ,25187481
9712,Rockland Trust Company,Rockland,MA,24787974
3890,Simmons Bank,Pine Bluff,AR,24649062
17985,First Hawaiian Bank,Honolulu,HI,24266808
18503,Cathay Bank,Los Angeles,CA,24035136
18053,Bank of Hawaii,Honolulu,HI,23875947
33682,State Bank of India,New York,NY,23463101
58457,TriState Capital Bank,Pittsburgh,PA,23247121
11241,Centennial Bank,Conway,AR,23028965
6600,First Financial Bank,Cincinnati,OH,22686655
35095,TowneBank,Portsmouth,VA,22358708
17798,Beacon Bank and Trust,Brookline,MA,22181187
17838,"Wilmington Savings Fund Society, FSB",Wilmington,DE,22016606
1768,Mechanics Bank,Walnut Creek,CA,21403986
131,Seacoast National Bank,Stuart,FL,21134120
4365,First Merchants Bank,Muncie,IN,21048883
57408,"Optum Bank, Inc.",Draper,UT,20995000
12633,The Central Trust Bank,Jefferson City,MO,20473249
8056,Merchants Bank of Indiana,Carmel,IN,20263028
57311,Stifel Bank and Trust,Saint Louis,MO,20062734
16068,Apple Bank,New York,NY,19231898
30387,FirstBank Puerto Rico,Santurce,PR,19070727
4988,Trustmark Bank,Jackson,MS,18984962
26610,Bank of Hope,Los Angeles,CA,18652384
57993,ServisFirst Bank,Birmingham,AL,18170078
16450,Busey Bank,Champaign,IL,18012163
30012,Third Federal Savings and Loan Association of Cleveland,Cleveland,OH,17468430
6989,"Community Bank, National Association",Canton,NY,17433997
27237,Enterprise Bank & Trust,Clayton,MO,17196325
28178,Northwest Bank,Warren,PA,16911880
8663,FirstBank,Nashville,TN,16433171
4239,First United Bank and Trust Company,Durant,OK,16403712
28489,Banner Bank,Walla Walla,WA,16338071
57542,Toyota Financial Savings Bank,Henderson,NV,16100274
7230,"NBT Bank, National Association",Norwich,NY,16090102
33681,Bank of Baroda,New York,NY,15828371
57038,Nicolet National Bank,Green Bay,WI,15548303
21716,"Citizens Business Bank, National Association",Ontario,CA,15511016
3066,First Financial Bank,Abilene,TX,15317679
58665,Live Oak Banking Company,Wilmington,NC,15229819
25178,"Bank of America California, National Association",San Francisco,CA,15126000
6976,Dime Commercial Bank,Hauppauge,NY,14990679
34967,Popular Bank,New York,NY,14953476
19581,Bell Bank,Fargo,ND,14816488
28359,"OceanFirst Bank, National Association",Toms River,NJ,14471195
57919,ConnectOne Bank,Englewood Cliffs,NJ,14200455
19977,Israel Discount Bank of New York,New York,NY,13986756
29209,NexBank,Dallas,TX,13442736
57570,Comenity Capital Bank,Draper,UT,13310873
57833,Beal Bank USA,Las Vegas,NV,13025805
35141,BMW Bank of North America,Salt Lake City,UT,13013553
15019,First Bank,Southern Pines,NC,12937641
6653,The Park National Bank,Newark,OH,12926059
27476,BancFirst,Oklahoma City,OK,12799696
59052,NBH Bank,Greenwood Village,CO,12564538
